"File","Line","FunctionName","Scope","RiskLevel","ProblematicNoun","SuggestedName","Message"
"tools\NSXConfigSync-v2.ps1","1293","to","PUBLIC-TOOL","HIGH","","to","The cmdlet 'Merge-ConfigurationObjects' uses a plural noun. A singular noun should be used instead."
"tools\NSXConfigSync-v2.ps1","1582","to","PUBLIC-TOOL","HIGH","","to","The cmdlet 'Get-ExportResourceTypes' uses a plural noun. A singular noun should be used instead."
"tools\NSXConfigSync-v2.ps1","1603","to","PUBLIC-TOOL","HIGH","","to","The cmdlet 'Get-ImportResourceTypes' uses a plural noun. A singular noun should be used instead."
"tools\NSXConfigSync-v2.ps1","1828","to","PUBLIC-TOOL","HIGH","","to","The cmdlet 'Filter-ConfigurationByResourceTypes' uses a plural noun. A singular noun should be used instead."
"tools\NSXConfigSync.ps1","715","for","PUBLIC-TOOL","HIGH","","for","The cmdlet 'Get-SyncManagerCredentials' uses a plural noun. A singular noun should be used instead."
"tools\NSXConfigSync.ps1","1129","Add-StandardCredentialParams","PUBLIC-TOOL","HIGH","StandardCredentialParams","Add-StandardCredentialParam","The cmdlet 'Add-StandardCredentialParams' uses a plural noun. A singular noun should be used instead."
"tools\NSXConfigSync.ps1","1211","to","PUBLIC-TOOL","HIGH","","to","The cmdlet 'Get-ConsolidatedResourceTypes' uses a plural noun. A singular noun should be used instead."
"tools\NSXConfigSync.ps1","1321","to","PUBLIC-TOOL","HIGH","","to","The cmdlet 'Merge-ConfigurationObjects' uses a plural noun. A singular noun should be used instead."
"tools\NSXConfigSync.ps1","1610","to","PUBLIC-TOOL","HIGH","","to","The cmdlet 'Get-ExportResourceTypes' uses a plural noun. A singular noun should be used instead."
"tools\NSXConfigSync.ps1","1631","to","PUBLIC-TOOL","HIGH","","to","The cmdlet 'Get-ImportResourceTypes' uses a plural noun. A singular noun should be used instead."
"tools\NSXConfigSync.ps1","1858","to","PUBLIC-TOOL","HIGH","","to","The cmdlet 'Filter-ConfigurationByResourceTypes' uses a plural noun. A singular noun should be used instead."
"tools\NSXConnectionDiagnostics.ps1","344","Test-StoredCredentials","PUBLIC-TOOL","HIGH","StoredCredentials","Test-StoredCredential","The cmdlet 'Test-StoredCredentials' uses a plural noun. A singular noun should be used instead."
"tools\NSXConnectionDiagnostics.ps1","447","Repair-Credentials","PUBLIC-TOOL","HIGH","Credentials","Repair-Credential","The cmdlet 'Repair-Credentials' uses a plural noun. A singular noun should be used instead."
"tools\NSXConnectionDiagnostics.ps1","503","Start-ComprehensiveDiagnostics","PUBLIC-TOOL","HIGH","ComprehensiveDiagnostics","Start-ComprehensiveDiagnostic","The cmdlet 'Start-ComprehensiveDiagnostics' uses a plural noun. A singular noun should be used instead."
"tools\NSXConnectionTest.ps1","640","Get-NSXEndpointDefinitions","PUBLIC-TOOL","HIGH","NSXEndpointDefinitions","Get-NSXEndpointDefinition","The cmdlet 'Get-NSXEndpointDefinitions' uses a plural noun. A singular noun should be used instead."
"tools\NSXConnectionTest.ps1","696","Get-ComprehensiveNSXEndpoints","PUBLIC-TOOL","HIGH","ComprehensiveNSXEndpoints","Get-ComprehensiveNSXEndpoint","The cmdlet 'Get-ComprehensiveNSXEndpoints' uses a plural noun. A singular noun should be used instead."
"tools\NSXConnectionTest.ps1","1419","Save-ValidatedEndpointsForTools","PUBLIC-TOOL","HIGH","ValidatedEndpointsForTools","Save-ValidatedEndpointsForTool","The cmdlet 'Save-ValidatedEndpointsForTools' uses a plural noun. A singular noun should be used instead."
"tools\NSXConnectionTest.ps1","2228","Assert-NSXToolkitPrerequisites","PUBLIC-TOOL","HIGH","NSXToolkitPrerequisites","Assert-NSXToolkitPrerequisite","The cmdlet 'Assert-NSXToolkitPrerequisites' uses a plural noun. A singular noun should be used instead."
"tools\NSXCredentialManager.ps1","206","Show-StoredCredentials","PUBLIC-TOOL","HIGH","StoredCredentials","Show-StoredCredential","The cmdlet 'Show-StoredCredentials' uses a plural noun. A singular noun should be used instead."
"tools\VerifyNSXConfiguration.ps1","526","Test-ConfigurationFiles","PUBLIC-TOOL","HIGH","ConfigurationFiles","Test-ConfigurationFile","The cmdlet 'Test-ConfigurationFiles' uses a plural noun. A singular noun should be used instead."
